"","id","t","marca","A","B","C","D","E","F","G"
"319",166,0,5,2.76,0.56,0,0,0,2.2,0
"320",166,122,1,4.44,5.945,3.825,0,0.68,2.2,0
"321",168,0,1,4.52,0,0,0,0,0.96,0
"322",168,127,1,7.06,4.425,4.14,0,0.12,1.72,0
"323",169,93,1,10.18,1.02,0,0,0,0,0
"324",170,0,4,0.8,0,0,0.07,0,0,0
"325",170,41,4,6.97,2.34,0,0.07,0,3.41,0
"326",170,46,4,9.71,2.34,0,0.07,0,5.39,1.5
"327",170,54,4,11.76,2.34,0,0.07,0,7.42,2.7
"328",170,60,4,14.32,2.34,0,0.07,0,9.37,3.9
"329",170,67,2,16.72,2.34,0,0.07,0,12.11,5.25
"330",170,115,4,21.79,2.41,0,0.07,0,12.11,5.55
"331",170,127,4,23.02,5.975,3.175,0.07,0.12,12.11,5.55
"332",170,143,4,25.38,9.185,3.175,0.07,0.12,12.11,5.55
"333",170,166,4,30.25,11.765,12.745,0.07,4.15,18.155,5.55
"334",170,173,2,32.07,11.765,12.745,0.07,7.97,22.595,5.55
"335",170,244,4,58.7,18.57,12.745,2.67,19.17,26.495,11.7
"336",170,292,4,65.63,22.745,29.705,5.83,24.63,30.955,11.7
"337",170,298,4,67.34,22.745,29.705,5.83,24.63,30.955,11.7
"338",170,309,6,69.52,22.745,35.745,5.83,24.63,30.955,11.7
"339",170,325,4,70.71,22.745,44.035,5.83,24.63,30.955,11.7
"340",170,347,4,74.34,22.745,56.565,5.83,24.63,30.955,11.7
"341",170,355,4,74.85,22.745,62.015,5.83,24.63,30.955,11.7
"342",171,100,3,9.52,3.565,1.52,0,0,2.16,0
"343",171,136,3,10.65,3.565,1.52,0,0,2.16,0
