"","id","bloque","defi_estim","estim","num_estim","error","cong","latencia"
"1051",8,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",18,0,0,402
"1052",8,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Desagradable",19,0,0,450
"1053",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",0,0,0,747
"1054",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Aburrida",1,0,0,605
"1055",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",2,0,0,655
"1056",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Alegre",3,0,0,635
"1057",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",4,0,0,586
"1058",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Desagradable",5,0,0,645
"1059",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",6,0,0,437
"1060",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Egoista",7,0,0,623
"1061",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",8,0,0,507
"1062",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Amistosa",9,0,0,668
"1063",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",10,0,0,670
"1064",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Deshonesta",11,0,0,459
"1065",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",12,0,0,757
"1066",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Comprometida",13,0,0,599
"1067",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",14,0,0,732
"1068",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Aburrida",15,0,0,662
"1069",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",16,0,0,654
"1070",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Solidaria",17,0,0,922
"1071",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",18,0,0,699
"1072",8,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Alegre",19,0,0,583
"1073",9,"1","Pepsi,Coca Cola","Foto Coke",0,0,0,1940
"1074",9,"1","Pepsi,Coca Cola","Foto Pepsi",1,0,0,978
"1075",9,"1","Pepsi,Coca Cola","Foto Coke",2,0,0,630
"1076",9,"1","Pepsi,Coca Cola","Foto Pepsi",3,0,0,576
"1077",9,"1","Pepsi,Coca Cola","Foto Pepsi",4,0,0,548
"1078",9,"1","Pepsi,Coca Cola","Foto Pepsi",5,0,0,505
"1079",9,"1","Pepsi,Coca Cola","Foto Coke",6,0,0,642
"1080",9,"1","Pepsi,Coca Cola","Foto Coke",7,0,0,673
"1081",9,"1","Pepsi,Coca Cola","Foto Coke",8,0,0,601
"1082",9,"1","Pepsi,Coca Cola","Foto Pepsi",9,0,0,885
"1083",9,"1","Pepsi,Coca Cola","Foto Pepsi",10,0,0,490
"1084",9,"1","Pepsi,Coca Cola","Foto Coke",11,0,0,937
"1085",9,"1","Pepsi,Coca Cola","Foto Coke",12,0,0,785
"1086",9,"1","Pepsi,Coca Cola","Foto Pepsi",13,0,0,592
"1087",9,"2","Atributos positivos,Atributos negativos","Egoista",0,0,0,2246
"1088",9,"2","Atributos positivos,Atributos negativos","Aburrida",1,0,0,527
"1089",9,"2","Atributos positivos,Atributos negativos","Comprometida",2,0,0,472
"1090",9,"2","Atributos positivos,Atributos negativos","Deshonesta",3,0,0,457
"1091",9,"2","Atributos positivos,Atributos negativos","Solidaria",4,0,0,584
"1092",9,"2","Atributos positivos,Atributos negativos","Amistosa",5,0,0,613
"1093",9,"2","Atributos positivos,Atributos negativos","Alegre",6,0,0,514
"1094",9,"2","Atributos positivos,Atributos negativos","Desagradable",7,0,0,480
"1095",9,"2","Atributos positivos,Atributos negativos","Aburrida",8,0,0,483
"1096",9,"2","Atributos positivos,Atributos negativos","Solidaria",9,0,0,603
"1097",9,"2","Atributos positivos,Atributos negativos","Egoista",10,0,0,672
"1098",9,"2","Atributos positivos,Atributos negativos","Deshonesta",11,0,0,660
"1099",9,"2","Atributos positivos,Atributos negativos","Amistosa",12,0,0,685
"1100",9,"2","Atributos positivos,Atributos negativos","Alegre",13,0,0,498
"1101",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",0,0,0,2589
"1102",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",1,0,0,1403
"1103",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",2,0,0,1617
"1104",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Amistosa",3,0,0,764
"1105",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",4,0,0,735
"1106",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Aburrida",5,0,0,582
"1107",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",6,0,0,919
"1108",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Comprometida",7,0,0,674
"1109",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",8,0,0,573
"1110",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",9,0,0,649
"1111",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",10,1,0,1314
"1112",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Desagradable",11,0,0,1182
